,difference,hindex_average,university
0,4.0,10.318181818181818,University of Sheffield
1,1.0,9.733333333333333,Imperial College London
2,4.0,9.416666666666666,University of Oxford
3,7.0,8.813559322033898,Queen Mary University
4,-4.0,8.793650793650794,UCL
5,6.0,8.1,University of Lancaster
6,16.0,8.090909090909092,UEA
7,-2.0,8.083333333333334,University of Cambridge
8,-5.0,8.071428571428571,University of Manchester
9,11.0,7.384615384615385,University of Birmingham
10,4.0,7.194805194805195,University of Edinburgh
11,2.0,7.1521739130434785,Kingâ€™s College London
12,-5.0,6.7727272727272725,University of York
13,8.0,6.714285714285714,University of Dundee
14,15.0,6.6,University of Exeter
15,-14.0,6.59375,University of Warwick
16,-4.0,6.461538461538462,University of Nottingham
17,0.0,6.451612903225806,University of Bristol
18,10.0,6.3076923076923075,University of Heriot-Watt
19,7.0,6.294117647058823,University of St Andrews
20,-1.0,6.230769230769231,Swansea University
21,-5.0,6.071428571428571,University of Glasgow
22,-13.0,6.038461538461538,University of Liverpool
23,1.0,6.0,University of Cardiff
24,6.0,6.0,University of Aberdeen
25,-7.0,6.0,University of Leeds
26,-18.0,5.836734693877551,University of Newcastle
27,-12.0,5.7272727272727275,University of Southampton
28,-1.0,5.608695652173913,University of Kent
29,-6.0,5.545454545454546,Rayal Holloway
30,-5.0,4.545454545454546,University of Durham
